YEAR,STATE,SEX,AGE,REGISTRATIONS
2022,Perlis,female,30-34,41
2022,Perlis,female,35-39,32
2022,Perlis,female,40-44,32
2022,Perlis,female,45-49,42
2022,Perlis,female,50-54,34
2022,Perlis,female,55-59,45
2022,Perlis,female,60-64,38
2022,Perlis,female,65-69,40
2022,Perlis,female,70-74,19
2022,Perlis,female,75-79,9
2022,Perlis,female,80-84,7
2022,Perlis,female,85+,3
2022,Perlis,male,0-12,1659
2022,Perlis,male,12-17,149
2022,Perlis,male,18-24,94
2022,Perlis,male,25-29,50
2022,Perlis,male,30-34,40
2022,Perlis,male,35-39,41
2022,Perlis,male,40-44,28
2022,Perlis,male,45-49,24
2022,Perlis,male,50-54,42
2022,Perlis,male,55-59,43
2022,Perlis,male,60-64,31
2022,Perlis,male,65-69,28
2022,Perlis,male,70-74,16
2022,Perlis,male,75-79,13
2022,Perlis,male,80-84,7
2022,Perlis,male,85+,3
